"Key Path","English","German","Notes (for editor)"
"breadcrumb.home","Home","Startseite",""
"breadcrumb.forDoctors","For Doctors","Für Ärzte",""
"page.badge","For Medical Professionals","Für medizinische Fachkräfte",""
"page.title","Join Our Dermatology Network","Werden Sie Teil unseres Dermatologen-Netzwerks",""
"page.description","Earn extra income with flexible teledermatology. No fixed costs, no subscriptions – just high-quality patient care on your terms.","Verdienen Sie flexibel mit Teledermatologie. Keine Fixkosten, keine Abonnements – nur hochwertige Patientenversorgung nach Ihren Vorstellungen.",""
"stats.doctors","750+","750+",""
"stats.doctorsLabel","Partner Doctors","Partner-Ärzte",""
"stats.treatments","500,000+","500.000+",""
"stats.treatmentsLabel","Treatments Completed","Behandlungen",""
"stats.insurances","60+","60+",""
"stats.insurancesLabel","Partner Insurances","Partner-Versicherungen",""
"benefits.title","Why Doctors Choose Telederm","Warum Ärzte Telederm wählen",""
"benefits.description","Join a growing network of dermatologists who are transforming their practice with teledermatology.","Schließen Sie sich einem wachsenden Netzwerk von Dermatologen an, die ihre Praxis mit Teledermatologie transformieren.",""
"benefits.income.title","Extra-Budgetary Income","Extrabudgetäres Einkommen",""
"benefits.income.description","Earn additional income outside your regular budget. No fixed costs, no minimum commitments – get paid per case.","Verdienen Sie zusätzliches Einkommen außerhalb Ihres regulären Budgets. Keine Fixkosten, keine Mindestverpflichtungen – Bezahlung pro Fall.",""
"benefits.flexibility.title","Maximum Flexibility","Maximale Flexibilität",""
"benefits.flexibility.description","Work from anywhere with a 48-hour processing window. Fit consultations around your schedule.","Arbeiten Sie von überall mit einem 48-Stunden-Bearbeitungsfenster. Passen Sie Konsultationen an Ihren Zeitplan an.",""
"benefits.organization.title","Better Practice Management","Besseres Praxismanagement",""
"benefits.organization.description","Relieve your staff and manage patient flow more efficiently. Reduce waiting room congestion.","Entlasten Sie Ihr Personal und verwalten Sie den Patientenfluss effizienter. Reduzieren Sie Wartezeiten.",""
"benefits.support.title","Full Marketing Support","Volle Marketing-Unterstützung",""
"benefits.support.description","Receive professional marketing materials including business cards, flyers, and digital assets.","Erhalten Sie professionelle Marketingmaterialien wie Visitenkarten, Flyer und digitale Assets.",""
"benefits.compliance.title","GDPR Compliant","DSGVO-konform",""
"benefits.compliance.description","All data processed on EU-based servers. Full compliance with medical data protection regulations.","Alle Daten werden auf EU-Servern verarbeitet. Volle Einhaltung der medizinischen Datenschutzbestimmungen.",""
"benefits.training.title","Comprehensive Training","Umfassende Schulung",""
"benefits.training.description","Get fully onboarded with our 45-minute training session. Ongoing support whenever you need it.","Werden Sie mit unserer 45-minütigen Schulung vollständig eingearbeitet. Laufende Unterstützung, wann immer Sie sie brauchen.",""
"testimonials.title","What Our Partner Doctors Say","Was unsere Partner-Ärzte sagen",""
"testimonials.description","Hear from dermatologists who are already part of our network.","Erfahren Sie von Dermatologen, die bereits Teil unseres Netzwerks sind.",""
"testimonials.items.mueller.quote","Telederm has transformed how I manage my practice. The flexibility to work from home while earning extra income is invaluable. The platform is intuitive and the support team is always responsive.","Telederm hat die Führung meiner Praxis verändert. Die Flexibilität, von zu Hause aus zu arbeiten und dabei zusätzliches Einkommen zu erzielen, ist unbezahlbar. Die Plattform ist intuitiv und das Support-Team reagiert immer schnell.",""
"testimonials.items.mueller.name","Dr. med. Sarah Müller","Dr. med. Sarah Müller",""
"testimonials.items.mueller.specialty","Dermatologist","Dermatologin",""
"testimonials.items.mueller.location","Munich","München",""
"testimonials.items.mueller.experience","Partner since 2021","Partnerin seit 2021",""
"testimonials.items.weber.quote","As a busy clinic owner, I was skeptical at first. But teledermatology has actually reduced my waiting room congestion and given my patients faster access to care. It's a win-win.","Als vielbeschäftigter Klinikinhaber war ich anfangs skeptisch. Aber Teledermatologie hat tatsächlich die Überfüllung meines Wartezimmers reduziert und meinen Patienten schnelleren Zugang zur Versorgung ermöglicht. Eine Win-Win-Situation.",""
"testimonials.items.weber.name","Dr. med. Thomas Weber","Dr. med. Thomas Weber",""
"testimonials.items.weber.specialty","Dermatologist & Allergist","Dermatologe & Allergologe",""
"testimonials.items.weber.location","Berlin","Berlin",""
"testimonials.items.weber.experience","Partner since 2020","Partner seit 2020",""
"testimonials.items.schmidt.quote","The onboarding was seamless – 45 minutes of training and I was ready to go. I now handle 15-20 cases per week during my free time. The GOÄ billing is handled automatically.","Das Onboarding war nahtlos – 45 Minuten Schulung und ich war startklar. Ich bearbeite jetzt 15-20 Fälle pro Woche in meiner Freizeit. Die GOÄ-Abrechnung wird automatisch erledigt.",""
"testimonials.items.schmidt.name","Dr. med. Lisa Schmidt","Dr. med. Lisa Schmidt",""
"testimonials.items.schmidt.specialty","Dermatologist","Dermatologin",""
"testimonials.items.schmidt.location","Hamburg","Hamburg",""
"testimonials.items.schmidt.experience","Partner since 2022","Partnerin seit 2022",""
"testimonials.items.braun.quote","What I appreciate most is the quality of cases. The photo documentation is excellent, and the 48-hour response window means I never feel pressured. Perfect for work-life balance.","Was ich am meisten schätze, ist die Qualität der Fälle. Die Fotodokumentation ist ausgezeichnet, und das 48-Stunden-Antwortfenster bedeutet, dass ich mich nie unter Druck gesetzt fühle. Perfekt für die Work-Life-Balance.",""
"testimonials.items.braun.name","Dr. med. Michael Braun","Dr. med. Michael Braun",""
"testimonials.items.braun.specialty","Dermatologist & Venereologist","Dermatologe & Venerologe",""
"testimonials.items.braun.location","Frankfurt","Frankfurt",""
"testimonials.items.braun.experience","Partner since 2021","Partner seit 2021",""
"howItWorks.title","Get Started in 3 Simple Steps","In 3 einfachen Schritten starten",""
"howItWorks.description","From registration to your first patient – we make onboarding fast and simple.","Von der Registrierung bis zum ersten Patienten – wir machen das Onboarding schnell und einfach.",""
"howItWorks.steps.register.step","Step 1","Schritt 1",""
"howItWorks.steps.register.title","Register Online","Online registrieren",""
"howItWorks.steps.register.description","Complete your registration in just 10 minutes. Provide your LANR, BSNR, and bank details.","Schließen Sie Ihre Registrierung in nur 10 Minuten ab. Geben Sie Ihre LANR, BSNR und Bankdaten an.",""
"howItWorks.steps.training.step","Step 2","Schritt 2",""
"howItWorks.steps.training.title","Complete Training","Schulung absolvieren",""
"howItWorks.steps.training.description","Schedule a 45-minute online training session at your convenience. Learn our platform inside and out.","Planen Sie eine 45-minütige Online-Schulung nach Ihrem Zeitplan. Lernen Sie unsere Plattform von Grund auf kennen.",""
"howItWorks.steps.start.step","Step 3","Schritt 3",""
