"Key Path","English","German","Notes (for editor)"
"hero.badge","Board-Certified Dermatologists • 24h Response","Fachärzte für Dermatologie • 24h Antwort",""
"hero.title","Expert Skin Care,","Hautpflege vom Experten,",""
"hero.titleHighlight","From Home","Von Zuhause",""
"hero.description","Get a personalized diagnosis from certified dermatologists within 24 hours. No appointments, no waiting rooms — just professional care delivered to you.","Erhalten Sie eine persönliche Diagnose von approbierten Dermatologen innerhalb von 24 Stunden. Keine Termine, keine Wartezimmer — nur professionelle Betreuung, direkt zu Ihnen.",""
"hero.howItWorks","How It Works","So funktioniert's",""
"hero.trustBadges.diagnosis","24h Diagnosis","24h Diagnose",""
"hero.trustBadges.gdpr","GDPR Compliant","DSGVO-konform",""
"hero.trustBadges.digital","100% Digital","100% Digital",""
"howItWorks.label","How It Works","So funktioniert's",""
"howItWorks.title","Professional Care in 3 Simple Steps","Professionelle Versorgung in 3 einfachen Schritten",""
"howItWorks.description","Skip the waiting room and get expert skin care from the comfort of your home.","Überspringen Sie das Wartezimmer und erhalten Sie fachkundige Hautpflege bequem von zu Hause.",""
"howItWorks.steps.step1.title","Upload Photos","Fotos hochladen",""
"howItWorks.steps.step1.description","Take clear photos of the affected skin area and describe your symptoms using our guided questionnaire.","Machen Sie klare Fotos des betroffenen Hautbereichs und beschreiben Sie Ihre Symptome mit unserem geführten Fragebogen.",""
"howItWorks.steps.step2.title","Expert Review","Expertenanalyse",""
"howItWorks.steps.step2.description","Our certified dermatologists carefully analyze your case and create a personalized diagnosis within 24 hours.","Unsere approbierten Dermatologen analysieren Ihren Fall sorgfältig und erstellen innerhalb von 24 Stunden eine persönliche Diagnose.",""
"howItWorks.steps.step3.title","Get Treatment","Behandlung erhalten",""
"howItWorks.steps.step3.description","Receive your diagnosis with a detailed treatment plan. Prescriptions are sent directly to your pharmacy if needed.","Erhalten Sie Ihre Diagnose mit einem detaillierten Behandlungsplan. Rezepte werden bei Bedarf direkt an Ihre Apotheke gesendet.",""
"howItWorks.cta","Start Treatment","Behandlung Starten",""
"stats.patients","Patients Helped","Patienten geholfen",""
"stats.responseTime","Avg. Response Time","Durchschn. Antwortzeit",""
"stats.satisfaction","Patient Satisfaction","Patientenzufriedenheit",""
"stats.dermatologists","Certified Dermatologists","Approbierte Dermatologen",""
"conditions.label","What We Treat","Was wir behandeln",""
"conditions.title","Expert Care for All Skin Conditions","Fachkundige Versorgung für alle Hauterkrankungen",""
"conditions.description","Our board-certified dermatologists specialize in diagnosing and treating a wide range of skin, hair, and nail conditions. Whether it's a minor concern or a chronic condition, we're here to help.","Unsere Fachärzte für Dermatologie sind auf die Diagnose und Behandlung einer Vielzahl von Haut-, Haar- und Nagelerkrankungen spezialisiert. Ob kleinere Beschwerden oder chronische Erkrankungen – wir sind für Sie da.",""
"conditions.viewAll","View All Conditions","Alle Erkrankungen anzeigen",""
"conditions.featured.acne.name","Acne","Akne",""
"conditions.featured.acne.description","Pimples, blackheads, and cysts affecting face and body","Pickel, Mitesser und Zysten im Gesicht und am Körper",""
"conditions.featured.eczema.name","Eczema","Ekzem",""
"conditions.featured.eczema.description","Itchy, inflamed patches that can appear anywhere","Juckende, entzündete Stellen, die überall auftreten können",""
"conditions.featured.psoriasis.name","Psoriasis","Schuppenflechte",""
