"Key Path","English","German","Notes (for editor)"
"breadcrumb.home","Home","Startseite",""
"page.badge","Skin Health Resources","Hautgesundheits-Ressourcen",""
"page.title","Skin Blog","Hautblog",""
"page.description","Expert insights, treatment guides, and skincare tips from our board-certified dermatologists. Stay informed about your skin health.","Experteneinblicke, Behandlungsleitfäden und Hautpflegetipps von unseren Fachärzten für Dermatologie. Bleiben Sie informiert über Ihre Hautgesundheit.",""
"categories.all","All Topics","Alle Themen",""
"categories.skinCare","Skin Care","Hautpflege",""
"categories.conditions","Conditions","Erkrankungen",""
"categories.treatments","Treatments","Behandlungen",""
"categories.lifestyle","Lifestyle","Lebensstil",""
"readArticle","Read Article","Artikel lesen",""
"loadMore","Load More Articles","Mehr Artikel laden",""
"newsletter.title","Get Skin Health Tips in Your Inbox","Erhalten Sie Hautgesundheitstipps per E-Mail",""
"newsletter.description","Subscribe to our newsletter and receive 20% off your first consultation, plus weekly skincare insights from our dermatologists.","Abonnieren Sie unseren Newsletter und erhalten Sie 20% Rabatt auf Ihre erste Beratung sowie wöchentliche Hautpflegetipps von unseren Dermatologen.",""
"newsletter.placeholder","Enter your email","Ihre E-Mail-Adresse",""
"newsletter.subscribe","Subscribe","Abonnieren",""
"newsletter.noSpam","No spam. Unsubscribe anytime.","Kein Spam. Jederzeit abmelden.",""
"posts.post1.title","ABCDE Rule: How to Check Your Moles for Skin Cancer","ABCDE-Regel: So überprüfen Sie Ihre Muttermale auf Hautkrebs",""
"posts.post1.excerpt","Learn the simple ABCDE method dermatologists use to identify potentially dangerous moles and when to seek professional help.","Lernen Sie die einfache ABCDE-Methode, die Dermatologen verwenden, um potenziell gefährliche Muttermale zu identifizieren und wann Sie professionelle Hilfe suchen sollten.",""
"posts.post1.date","January 15, 2026","15. Januar 2026",""
"posts.post1.readTime","5 min read","5 Min. Lesezeit",""
"posts.post2.title","Understanding Acne: Causes, Types, and Effective Treatments","Akne verstehen: Ursachen, Arten und wirksame Behandlungen",""
"posts.post2.excerpt","From hormonal acne to cystic breakouts, discover what causes different types of acne and the most effective treatment options available.","Von hormoneller Akne bis zu zystischen Ausbrüchen, entdecken Sie, was verschiedene Aknearten verursacht und welche Behandlungsmöglichkeiten am wirksamsten sind.",""
"posts.post2.date","January 12, 2026","12. Januar 2026",""
"posts.post2.readTime","7 min read","7 Min. Lesezeit",""
"posts.post3.title","The Ultimate Guide to Building a Skincare Routine","Der ultimative Leitfaden zum Aufbau einer Hautpflegeroutine",""
"posts.post3.excerpt","Step-by-step guidance on creating a personalized skincare routine that addresses your unique skin concerns and goals.","Schritt-für-Schritt-Anleitung zur Erstellung einer personalisierten Hautpflegeroutine, die Ihre individuellen Hautprobleme und Ziele anspricht.",""
"posts.post3.date","January 10, 2026","10. Januar 2026",""
"posts.post3.readTime","6 min read","6 Min. Lesezeit",""
"posts.post4.title","Eczema Management: Tips for Living with Atopic Dermatitis","Ekzem-Management: Tipps für das Leben mit Neurodermitis",""
