"Key Path","English","German","Notes (for editor)"
"login.title","Welcome Back","Willkommen zurück",""
"login.subtitle","Sign in to your account","Melden Sie sich bei Ihrem Konto an",""
"login.email","Email","E-Mail",""
"login.password","Password","Passwort",""
"login.submit","Sign In","Anmelden",""
"login.noAccount","Don't have an account?","Noch kein Konto?",""
"login.signUp","Sign up","Registrieren",""
"login.forgotPassword","Forgot password?","Passwort vergessen?",""
"signup.title","Create Account","Konto erstellen",""
"signup.subtitle","Start your skin health journey","Starten Sie Ihre Hautgesundheitsreise",""
"signup.fullName","Full Name","Vollständiger Name",""
"signup.email","Email","E-Mail",""
"signup.password","Password","Passwort",""
"signup.confirmPassword","Confirm Password","Passwort bestätigen",""
"signup.submit","Create Account","Konto erstellen",""
"signup.hasAccount","Already have an account?","Bereits ein Konto?",""
"signup.signIn","Sign in","Anmelden",""
"signup.success","Account created successfully!","Konto erfolgreich erstellt!",""
"doctor.title","Doctor Portal","Arzt-Portal",""
"doctor.subtitle","Access your consultation dashboard","Zugang zu Ihrem Beratungs-Dashboard",""
"doctor.loginOnly","Doctor accounts are created by administrators","Arztkonten werden von Administratoren erstellt",""
"admin.title","Admin Portal","Admin-Portal",""
"admin.subtitle","Manage your telederm platform","Verwalten Sie Ihre Telederm-Plattform",""
"profile.title","Your Profile","Ihr Profil",""
"profile.subtitle","Manage your account information","Verwalten Sie Ihre Kontoinformationen",""
"profile.fullName","Full Name","Vollständiger Name",""
"profile.phone","Phone Number","Telefonnummer",""
"profile.email","Email Address","E-Mail-Adresse",""
"profile.save","Save Changes","Änderungen speichern",""
"profile.saved","Profile updated successfully","Profil erfolgreich aktualisiert",""
"profile.deleteAccount","Delete Account","Konto löschen",""
"profile.deleteConfirm","Are you sure? This action cannot be undone.","Sind Sie sicher? Diese Aktion kann nicht rückgängig gemacht werden.",""
"profile.deleteButton","Yes, delete my account","Ja, mein Konto löschen",""
"dashboard.patient.title","Patient Dashboard","Patienten-Dashboard",""
"dashboard.patient.welcome","Welcome back","Willkommen zurück",""
"dashboard.patient.subtitle","Manage your skin health consultations","Verwalten Sie Ihre Hautgesundheitsberatungen",""
"dashboard.doctor.title","Doctor Dashboard","Arzt-Dashboard",""
"dashboard.doctor.welcome","Welcome, Dr.","Willkommen, Dr.",""
"dashboard.doctor.subtitle","Manage your patient consultations","Verwalten Sie Ihre Patientenberatungen",""
"dashboard.admin.title","Admin Dashboard","Admin-Dashboard",""
"dashboard.admin.welcome","Administration Panel","Administrationspanel",""
"dashboard.admin.subtitle","Manage doctors and platform settings","Verwalten Sie Ärzte und Plattformeinstellungen",""
"dashboard.admin.createDoctor","Create Doctor Account","Arztkonto erstellen",""
"dashboard.admin.doctorEmail","Doctor Email","Arzt E-Mail",""
"dashboard.admin.doctorName","Doctor Name","Arzt Name",""
"dashboard.admin.doctorPassword","Initial Password","Initiales Passwort",""
"dashboard.admin.createButton","Create Doctor","Arzt erstellen",""
"dashboard.admin.doctorCreated","Doctor account created successfully","Arztkonto erfolgreich erstellt",""
"dashboard.admin.doctorsList","Registered Doctors","Registrierte Ärzte",""
"dashboard.admin.doctorStatus","Status","Status",""
"dashboard.admin.doctorActions","Actions","Aktionen",""
"dashboard.admin.deactivateDoctor","Deactivate","Deaktivieren",""
"dashboard.admin.reactivateDoctor","Reactivate","Reaktivieren",""
"dashboard.admin.deleteDoctor","Delete Permanently","Dauerhaft löschen",""
"dashboard.admin.confirmDeactivate","Are you sure you want to deactivate this doctor? They will not be able to log in.","Sind Sie sicher, dass Sie diesen Arzt deaktivieren möchten? Er kann sich nicht mehr anmelden.",""
"dashboard.admin.confirmReactivate","Are you sure you want to reactivate this doctor?","Sind Sie sicher, dass Sie diesen Arzt reaktivieren möchten?",""
"dashboard.admin.confirmDelete","This action cannot be undone. The doctor account and all associated data will be permanently deleted.","Diese Aktion kann nicht rückgängig gemacht werden. Das Arztkonto und alle zugehörigen Daten werden dauerhaft gelöscht.",""
"dashboard.admin.doctorDeactivated","Doctor account deactivated","Arztkonto deaktiviert",""
"dashboard.admin.doctorReactivated","Doctor account reactivated","Arztkonto reaktiviert",""
"dashboard.admin.doctorDeleted","Doctor account deleted","Arztkonto gelöscht",""
"dashboard.admin.activeStatus","Active","Aktiv",""
"dashboard.admin.inactiveStatus","Inactive","Inaktiv",""
"dashboard.admin.cannotDeleteActive","Cannot delete doctor with active consultations","Arzt mit aktiven Beratungen kann nicht gelöscht werden",""
"dashboard.admin.queueType","Queue Type","Warteschlangentyp",""
"dashboard.admin.queueTypeGroup","Group","Gruppe",""
"dashboard.admin.queueTypeIndividual","Individual","Individuell",""
"dashboard.admin.queueTypeHybrid","Hybrid","Hybrid",""
"dashboard.admin.queueTypeGroupDesc","Sees unassigned cases from the pool","Sieht nicht zugewiesene Fälle aus dem Pool",""
"dashboard.admin.queueTypeIndividualDesc","Sees only cases assigned to them","Sieht nur ihm zugewiesene Fälle",""
"dashboard.admin.queueTypeHybridDesc","Sees both pool and assigned cases","Sieht Pool- und zugewiesene Fälle",""
"dashboard.admin.queueTypeUpdated","Queue type updated successfully","Warteschlangentyp erfolgreich aktualisiert",""
"dashboard.admin.patientsList","Registered Patients","Registrierte Patienten",""
"dashboard.admin.patientsSubtitle","All registered patients on the platform","Alle registrierten Patienten auf der Plattform",""
"dashboard.admin.noPatients","No patients registered yet.","Noch keine Patienten registriert.",""
"dashboard.admin.closedCases","Closed","Abgeschlossen",""
"dashboard.admin.ongoingCases","Ongoing","Laufend",""
"dashboard.admin.deactivatePatient","Deactivate","Deaktivieren",""
"dashboard.admin.reactivatePatient","Reactivate","Reaktivieren",""
"dashboard.admin.deletePatient","Delete Permanently","Dauerhaft löschen",""
