"Key Path","English","German","Notes (for editor)"
"flow.progress","Step {{current}} of {{total}}","Schritt {{current}} von {{total}}","Keep {{current}} and {{total}} placeholders"
"flow.back","Back","Zurück",""
"flow.next","Continue","Weiter",""
"flow.skip","Skip","Überspringen",""
"step1.title","How can we help you?","Wie können wir Ihnen helfen?",""
"step1.subtitle","Select the category that best describes your concern","Wählen Sie die Kategorie, die Ihr Anliegen am besten beschreibt",""
"step1.categories.skin.name","Skin Conditions","Hauterkrankungen",""
"step1.categories.skin.description","Rashes, acne, eczema, psoriasis","Ausschläge, Akne, Ekzeme, Schuppenflechte",""
"step1.categories.hair.name","Hair & Scalp","Haare & Kopfhaut",""
"step1.categories.hair.description","Hair loss, dandruff, scalp issues","Haarausfall, Schuppen, Kopfhautprobleme",""
"step1.categories.nails.name","Nail Problems","Nagelprobleme",""
"step1.categories.nails.description","Fungal infections, discoloration","Pilzinfektionen, Verfärbungen",""
"step1.categories.infections.name","Infections","Infektionen",""
"step1.categories.infections.description","Herpes, warts, bacterial infections","Herpes, Warzen, bakterielle Infektionen",""
"step1.categories.allergies.name","Allergies & Reactions","Allergien & Reaktionen",""
"step1.categories.allergies.description","Hives, contact dermatitis, allergic reactions","Nesselsucht, Kontaktdermatitis, allergische Reaktionen",""
"step1.categories.pigmentation.name","Pigmentation","Pigmentierung",""
"step1.categories.pigmentation.description","Moles, spots, skin discoloration","Muttermale, Flecken, Hautverfärbungen",""
"step2.title","Where is the problem located?","Wo befindet sich das Problem?",""
"step2.subtitle","Tap on the affected area(s) on the body","Tippen Sie auf die betroffene(n) Stelle(n) am Körper",""
"step2.frontView","Front","Vorne",""
"step2.backView","Back","Hinten",""
"step2.selectedAreas","Selected areas","Ausgewählte Bereiche",""
"step2.noSelection","Please select at least one area","Bitte wählen Sie mindestens einen Bereich aus",""
"step3.title","Let's take some photos","Lassen Sie uns Fotos machen",""
"step3.subtitle","Good photos help us diagnose your condition faster","Gute Fotos helfen uns, Ihre Erkrankung schneller zu diagnostizieren",""
"step3.tips.title","Tips for great photos","Tipps für gute Fotos",""
"step3.tips.lighting","Use good, natural lighting","Verwenden Sie gutes, natürliches Licht",""
"step3.tips.distance","Take one close-up and one from further away","Machen Sie eine Nahaufnahme und eine aus größerer Entfernung",""
"step3.tips.focus","Make sure the affected area is in focus","Stellen Sie sicher, dass der betroffene Bereich scharf ist",""
"step3.tips.clean","Clean the area if possible","Reinigen Sie den Bereich wenn möglich",""
"step3.ready","I'm ready to take photos","Ich bin bereit, Fotos zu machen",""
"step4.title","Upload your photos","Laden Sie Ihre Fotos hoch",""
"step4.subtitle","Take or upload up to 3 photos of the affected area","Nehmen Sie bis zu 3 Fotos des betroffenen Bereichs auf oder laden Sie sie hoch",""
"step4.photos.closeup.title","Close-up","Nahaufnahme",""
"step4.photos.closeup.description","Detailed view of the affected area","Detailansicht des betroffenen Bereichs",""
"step4.photos.context.title","From further away","Aus größerer Entfernung",""
"step4.photos.context.description","Shows the location on your body","Zeigt die Stelle am Körper",""
"step4.photos.additional.title","Additional (optional)","Zusätzlich (optional)",""
"step4.photos.additional.description","Any other helpful angle","Jeder andere hilfreiche Winkel",""
"step4.upload","Upload photo","Foto hochladen",""
"step4.takePhoto","Take photo","Foto aufnehmen",""
"step4.replace","Replace","Ersetzen",""
"step4.remove","Remove","Entfernen",""
"step5.title","Tell us about the timeline","Erzählen Sie uns vom Zeitverlauf",""
"step5.subtitle","When did you first notice this problem?","Wann haben Sie dieses Problem zum ersten Mal bemerkt?",""
"step5.onset.today","Today","Heute",""
"step5.onset.thisWeek","This week","Diese Woche",""
"step5.onset.thisMonth","This month","Diesen Monat",""
"step5.onset.longerAgo","More than a month ago","Vor mehr als einem Monat",""
"step5.changed","Has it changed over time?","Hat es sich im Laufe der Zeit verändert?",""
"step5.changedOptions.yes","Yes, it has changed","Ja, es hat sich verändert",""
"step5.changedOptions.no","No, it's the same","Nein, es ist gleich geblieben",""
"step5.changeDescription","Please describe how it has changed","Bitte beschreiben Sie, wie es sich verändert hat",""
"step6.title","What symptoms do you have?","Welche Symptome haben Sie?",""
"step6.subtitle","Select all that apply","Wählen Sie alle zutreffenden aus",""
"step6.symptoms.itching","Itching","Juckreiz",""
"step6.symptoms.pain","Pain","Schmerzen",""
"step6.symptoms.burning","Burning","Brennen",""
"step6.symptoms.swelling","Swelling","Schwellung",""
"step6.symptoms.oozing","Oozing/Weeping","Nässen",""
"step6.symptoms.bleeding","Bleeding","Blutung",""
"step6.symptoms.flaking","Flaking/Scaling","Schuppung",""
"step6.symptoms.none","None of the above","Keines davon",""
"step6.severity","How severe are your symptoms?","Wie stark sind Ihre Symptome?",""
"step6.severityLevels.mild","Mild","Leicht",""
"step6.severityLevels.moderate","Moderate","Mittel",""
"step6.severityLevels.severe","Severe","Stark",""
"step7.title","Medical history","Krankengeschichte",""
"step7.subtitle","This helps us provide better care","Dies hilft uns, Sie besser zu versorgen",""
"step7.allergies.question","Do you have any allergies?","Haben Sie Allergien?",""
"step7.allergies.yes","Yes","Ja",""
"step7.allergies.no","No","Nein",""
"step7.allergies.placeholder","Please list your allergies","Bitte listen Sie Ihre Allergien auf",""
"step7.medications.question","Are you currently taking any medications?","Nehmen Sie derzeit Medikamente ein?",""
"step7.medications.yes","Yes","Ja",""
"step7.medications.no","No","Nein",""
"step7.medications.placeholder","Please list your medications","Bitte listen Sie Ihre Medikamente auf",""
"step7.selfTreated.question","Have you already tried treating this yourself?","Haben Sie bereits versucht, dies selbst zu behandeln?",""
"step7.selfTreated.yes","Yes","Ja",""
"step7.selfTreated.no","No","Nein",""
"step7.selfTreated.placeholder","What did you try?","Was haben Sie versucht?",""
"step8.title","Personal details","Persönliche Angaben",""
"step8.subtitle","These details are medically relevant","Diese Angaben sind medizinisch relevant",""
"step8.fullName","Full name","Vollständiger Name",""
"step8.fullNamePlaceholder","First and last name","Vor- und Nachname",""
"step8.dateOfBirth","Date of birth","Geburtsdatum",""
"step8.socialSecurityNumber","Social security number","Sozialversicherungsnummer",""
