"Key Path","English","German","Notes (for editor)"
"breadcrumb.home","Home","Startseite",""
"breadcrumb.forCompanies","For Companies","Für Unternehmen",""
"page.badge","Corporate Health Management","Betriebliches Gesundheitsmanagement",""
"page.title","Skin Health as an Employee Benefit","Hautgesundheit als Mitarbeiter-Benefit",""
"page.description","Provide your employees with fast access to dermatological care. Reduce absenteeism, increase satisfaction, and strengthen your employer brand.","Bieten Sie Ihren Mitarbeitern schnellen Zugang zu dermatologischer Versorgung. Reduzieren Sie Fehlzeiten, steigern Sie die Zufriedenheit und stärken Sie Ihre Arbeitgebermarke.",""
"page.heroBenefits.reducedAbsence","Reduced absenteeism","Reduzierte Fehlzeiten",""
"page.heroBenefits.employeeSatisfaction","Higher employee satisfaction","Höhere Mitarbeiterzufriedenheit",""
"page.heroBenefits.noWaiting","No long waiting times","Keine langen Wartezeiten",""
"stats.employees","25%","25%",""
"stats.employeesLabel","of employees affected by skin conditions","der Arbeitnehmer betroffen von Hauterkrankungen",""
"stats.savings","40%","40%",""
"stats.savingsLabel","fewer sick days through quick treatment","weniger Fehlzeiten durch schnelle Behandlung",""
"stats.satisfaction","4.8/5","4.8/5",""
"stats.satisfactionLabel","average employee satisfaction","durchschnittliche Mitarbeiterzufriedenheit",""
"benefits.title","Why Telederm for Your Company?","Warum Telederm für Ihr Unternehmen?",""
"benefits.description","Healthy employees are happy employees. With Telederm, you invest in your team's wellbeing.","Gesunde Mitarbeiter sind zufriedene Mitarbeiter. Mit Telederm investieren Sie in das Wohlbefinden Ihres Teams.",""
"benefits.health.title","Promote Employee Health","Mitarbeitergesundheit fördern",""
"benefits.health.description","Fast access to specialists means faster diagnosis and treatment. Skin problems are detected and treated early.","Schneller Zugang zu Fachärzten bedeutet schnellere Diagnose und Behandlung. Hautprobleme werden frühzeitig erkannt und behandelt.",""
"benefits.productivity.title","Increase Productivity","Produktivität steigern",""
"benefits.productivity.description","Fewer doctor visits during work hours. Employees can conduct consultations flexibly from home or on the go.","Weniger Arztbesuche während der Arbeitszeit. Mitarbeiter können Konsultationen flexibel von zu Hause oder unterwegs durchführen.",""
"benefits.employer.title","Strengthen Employer Brand","Arbeitgebermarke stärken",""
"benefits.employer.description","Position yourself as a modern, health-conscious employer and win in the competition for the best talent.","Positionieren Sie sich als moderner, gesundheitsbewusster Arbeitgeber und gewinnen Sie im Wettbewerb um die besten Talente.",""
"benefits.costs.title","Reduce Costs","Kosten senken",""
"benefits.costs.description","Reduce indirect costs from production losses and absenteeism. Prevention is cheaper than treatment.","Reduzieren Sie indirekte Kosten durch Produktionsausfälle und Fehlzeiten. Prävention ist günstiger als Behandlung.",""
"benefits.simple.title","Easy Integration","Einfache Integration",""
"benefits.simple.description","Seamless integration into your existing health management. We take care of everything – from setup to employee communication.","Nahtlose Integration in Ihr bestehendes BGM. Wir kümmern uns um alles – von der Einrichtung bis zur Mitarbeiterkommunikation.",""
"benefits.data.title","Anonymous Reports","Anonyme Auswertungen",""
"benefits.data.description","Receive anonymized reports on usage and health trends without seeing personal data.","Erhalten Sie anonymisierte Berichte über die Nutzung und Gesundheitstrends, ohne persönliche Daten zu sehen.",""
"howItWorks.title","How It Works","So funktioniert es",""
"howItWorks.description","Three simple steps to skin health for your team","In drei einfachen Schritten zur Hautgesundheit für Ihr Team",""
"howItWorks.steps.step1.title","Start Partnership","Partnerschaft starten",""
"howItWorks.steps.step1.description","Contact us for a no-obligation consultation. We'll create a customized offer for your company.","Kontaktieren Sie uns für ein unverbindliches Beratungsgespräch. Wir erstellen ein maßgeschneidertes Angebot für Ihr Unternehmen.",""
"howItWorks.steps.step2.title","Inform Employees","Mitarbeiter informieren",""
"howItWorks.steps.step2.description","We support you with internal communication through materials, presentations, and a dedicated company portal.","Wir unterstützen Sie bei der internen Kommunikation mit Materialien, Präsentationen und einem eigenen Unternehmensportal.",""
"howItWorks.steps.step3.title","Start Using","Sofort nutzen",""
"howItWorks.steps.step3.description","Your employees get access to the Telederm platform and can immediately receive professional skin consultations.","Ihre Mitarbeiter erhalten Zugang zur Telederm-Plattform und können sofort professionelle Hautberatung in Anspruch nehmen.",""
"packages.title","Our Corporate Packages","Unsere Unternehmenspakete",""
"packages.description","Flexible solutions for companies of all sizes","Flexible Lösungen für Unternehmen jeder Größe",""
"packages.perEmployee","per employee/month","pro Mitarbeiter/Monat",""
"packages.features.unlimitedConsultations","Unlimited consultations","Unbegrenzte Konsultationen",""
"packages.features.priorityResponse","Priority response","Prioritäts-Antwort",""
"packages.features.dedicatedManager","Dedicated Account Manager","Dedizierter Account Manager",""
"packages.features.customReporting","Custom reporting","Individuelles Reporting",""
"packages.features.onboarding","Onboarding support","Onboarding-Support",""
"packages.features.integration","HR system integration","HR-System Integration",""
"packages.basic.name","Starter","Starter",""
"packages.basic.description","Ideal for small and medium-sized businesses","Ideal für kleine und mittlere Unternehmen",""
"packages.basic.price","€9.90","9,90€",""
"packages.basic.features[0]","Unlimited consultations","Unbegrenzte Konsultationen",""
"packages.basic.features[1]","48h response time","48h Antwortzeit",""
"packages.basic.features[2]","Email support","E-Mail Support",""
"packages.basic.features[3]","Basic reporting","Basis-Reporting",""
"packages.professional.name","Professional","Professional",""
"packages.professional.description","For growing companies with higher requirements","Für wachsende Unternehmen mit höheren Anforderungen",""
"packages.professional.price","€14.90","14,90€",""
"packages.professional.features[0]","Unlimited consultations","Unbegrenzte Konsultationen",""
"packages.professional.features[1]","24h response time","24h Antwortzeit",""
"packages.professional.features[2]","Dedicated Account Manager","Dedizierter Account Manager",""
"packages.professional.features[3]","Advanced reporting","Erweitertes Reporting",""
"packages.professional.features[4]","Onboarding support","Onboarding-Support",""
