"Key Path","English","German","Notes (for editor)"
"breadcrumb.home","Home","Startseite",""
"breadcrumb.conditions","Conditions","Erkrankungen",""
"page.title","Skin Conditions Library","Hauterkrankungen-Bibliothek",""
"page.description","Explore our comprehensive guide to dermatological conditions. Find information about symptoms, causes, and available treatments.","Entdecken Sie unseren umfassenden Leitfaden zu dermatologischen Erkrankungen. Finden Sie Informationen zu Symptomen, Ursachen und verfügbaren Behandlungen.",""
"page.searchPlaceholder","Search conditions...","Erkrankungen suchen...",""
"page.allConditions","All Conditions","Alle Erkrankungen",""
"page.noResults","No conditions found matching your criteria.","Keine Erkrankungen gefunden, die Ihren Kriterien entsprechen.",""
"page.clearFilters","Clear filters","Filter löschen",""
"page.clearAllFilters","Clear all filters","Alle Filter löschen",""
"page.showing","Showing {{count}} of {{total}} conditions","Zeige {{count}} von {{total}} Erkrankungen","Keep {{count}} and {{total}} placeholders"
"page.needAdvice","Need Expert Advice?","Brauchen Sie fachkundige Beratung?",""
"page.needAdviceDescription","Our board-certified dermatologists are ready to help diagnose and treat your skin condition. Get personalized care from the comfort of your home.","Unsere Fachärzte für Dermatologie sind bereit, Ihre Hauterkrankung zu diagnostizieren und zu behandeln. Erhalten Sie persönliche Betreuung bequem von zu Hause.",""
"page.startConsultation","Start Treatment","Behandlung starten",""
"categories.skin","Skin Conditions","Hauterkrankungen",""
"categories.hair","Hair & Scalp","Haar & Kopfhaut",""
"categories.nails","Nail Conditions","Nagelerkrankungen",""
"categories.infections","Infections","Infektionen",""
"categories.allergies","Allergies & Reactions","Allergien & Reaktionen",""
"categories.pigmentation","Pigmentation","Pigmentierung",""
