"Key Path","English","German","Notes (for editor)"
"nav.howItWorks","How It Works","So funktioniert's",""
"nav.conditions","Conditions","Hauterkrankungen",""
"nav.treatments","Treatments","Behandlungen",""
"nav.doctorTeam","Doctor Team","Ärzteteam",""
"nav.pricing","Pricing","Preise",""
"nav.faq","FAQ","FAQ",""
"nav.skinBlog","Skin Blog","Hautblog",""
"nav.patientReferences","Patient References","Patientenstimmen",""
"nav.forDoctors","For Doctors","Für Ärzte",""
"nav.benefits","Benefits","Vorteile",""
"nav.testimonials","Testimonials","Erfahrungen",""
"nav.apply","Apply","Bewerben",""
"nav.about","About Us","Über uns",""
"buttons.login","Patient Login","Patienten-Login",""
"buttons.doctorLogin","Doctor Login","Arzt-Login",""
"buttons.startTreatment","Start Treatment","Beratung starten",""
"buttons.startConsultation","Start Treatment","Beratung starten",""
"buttons.startNow","Start Now","Jetzt starten",""
"buttons.selectPlan","Select Plan","Plan wählen",""
"buttons.learnMore","Learn More","Mehr erfahren",""
"buttons.viewAllConditions","View All Conditions","Alle Erkrankungen ansehen",""
"buttons.readArticle","Read Article","Artikel lesen",""
"buttons.loadMore","Load More Articles","Mehr Artikel laden",""
"buttons.subscribe","Subscribe","Abonnieren",""
"buttons.sendMessage","Send Message","Nachricht senden",""
"buttons.sending","Sending...","Wird gesendet...",""
"buttons.clearFilters","Clear filters","Filter löschen",""
"buttons.clearAllFilters","Clear all filters","Alle Filter löschen",""
"footer.tagline","Professional dermatology care, delivered digitally. Your skin deserves expert attention.","Professionelle dermatologische Versorgung, digital geliefert. Ihre Haut verdient fachkundige Aufmerksamkeit.",""
"footer.company","Company","Unternehmen",""
"footer.services","Services","Services",""
"footer.forPatients","For Patients","Für Patienten",""
"footer.forCompanies","For Companies","Für Unternehmen",""
"footer.support","Support","Hilfe",""
"footer.legal","Legal","Rechtliches",""
"footer.certifications","Certifications","Zertifizierungen",""
"footer.aboutUs","About Us","Über uns",""
"footer.ourDoctors","Our Doctors","Unsere Ärzte",""
"footer.careers","Careers","Karriere",""
"footer.contact","Contact","Kontakt",""
"footer.privacyPolicy","Privacy Policy","Datenschutz",""
"footer.termsOfService","Terms of Service","AGB",""
"footer.imprint","Imprint","Impressum",""
"footer.copyright","© {{year}} Telederm. All rights reserved.","© {{year}} Telederm. Alle Rechte vorbehalten.","Keep {{year}} placeholder"
"footer.medicalDisclaimer","Medical consultations provided by licensed dermatologists.","Medizinische Beratungen werden von approbierten Dermatologen durchgeführt.",""
"certificates.gdpr","GDPR Compliant","DSGVO-konform",""
"certificates.iso","ISO/IEC 27001","ISO/IEC 27001",""
"certificates.telemedicine","Telemedicine Certified","Telemedizin-zertifiziert",""
"certificates.ce","CE Marked Software","CE-gekennzeichnete Software",""
"breadcrumb.home","Home","Startseite",""
